d.in	d.out	r
1.9296407185628743	33.89670658682635	r.234
1.8682634730538923	33.958083832335326	r.235
1.902694610778443	33.92365269461078	r.236
1.971556886227545	33.854790419161674	r.237
1.9116766467065869	33.91467065868263	r.238
1.9925149700598803	33.83383233532934	r.239
1.8982035928143712	33.92814371257485	r.240
1.8892215568862276	33.93712574850299	r.241
2.0254491017964074	33.800898203592816	r.242
1.9266467065868262	33.8997005988024	r.243
1.8188622754491017	34.00748502994012	r.244
1.908682634730539	33.91766467065868	r.245
1.902694610778443	33.92365269461078	r.246
1.9416167664670658	33.884730538922156	r.247
1.875748502994012	33.95059880239521	r.248
1.9116766467065869	33.91467065868263	r.249
1.8637724550898203	33.962574850299404	r.250
1.9805389221556886	33.84580838323353	r.251
1.965568862275449	33.86077844311377	r.252
1.8158682634730539	34.01047904191617	r.253
1.902694610778443	33.92365269461078	r.254
1.9296407185628743	33.89670658682635	r.255
1.9161676646706587	33.91017964071856	r.256
1.9550898203592815	33.87125748502994	r.257
1.8997005988023952	33.92664670658683	r.258
1.937125748502994	33.88922155688623	r.259
1.9520958083832336	33.874251497005986	r.260
1.8892215568862276	33.93712574850299	r.261
1.8907185628742516	33.93562874251497	r.262
1.811377245508982	34.01497005988024	r.263
1.8562874251497006	33.97005988023952	r.264
1.9311377245508983	33.895209580838326	r.265
1.9520958083832336	33.874251497005986	r.266
1.8922155688622755	33.93413173652694	r.267
1.8562874251497006	33.97005988023952	r.268
1.785928143712575	34.040419161676645	r.269
1.9461077844311376	33.880239520958085	r.270
1.8937125748502994	33.93263473053892	r.271
1.907185628742515	33.91916167664671	r.272
1.778443113772455	34.047904191616766	r.273
1.9595808383233533	33.866766467065865	r.274
1.8667664670658684	33.959580838323355	r.275
1.839820359281437	33.98652694610779	r.276
1.9221556886227544	33.90419161676647	r.277
1.9236526946107784	33.90269461077844	r.278
1.9416167664670658	33.884730538922156	r.279
1.9820359281437125	33.84431137724551	r.280
1.8637724550898203	33.962574850299404	r.281
1.839820359281437	33.98652694610779	r.282
2.1017964071856285	33.724550898203596	r.283
1.902694610778443	33.92365269461078	r.284
1.8787425149700598	33.94760479041916	r.285
1.901197604790419	33.9251497005988	r.286
1.8952095808383234	33.9311377245509	r.287
2.0823353293413174	33.7440119760479	r.288
1.9161676646706587	33.91017964071856	r.289
1.9161676646706587	33.91017964071856	r.290
1.9176646706586826	33.90868263473054	r.291
1.9161676646706587	33.91017964071856	r.292
2.0104790419161676	33.81586826347306	r.293
1.9850299401197604	33.84131736526946	r.294
1.908682634730539	33.91766467065868	r.295
1.907185628742515	33.91916167664671	r.296
2.0748502994011977	33.75149700598802	r.297
1.811377245508982	34.01497005988024	r.298
1.9206586826347305	33.90568862275449	r.299
1.904191616766467	33.92215568862275	r.300
1.844311377245509	33.98203592814371	r.301
1.839820359281437	33.98652694610779	r.302
1.937125748502994	33.88922155688623	r.303
1.9565868263473054	33.869760479041915	r.304
1.8218562874251496	34.00449101796407	r.305
1.905688622754491	33.92065868263473	r.306
1.9505988023952097	33.875748502994014	r.307
1.901197604790419	33.9251497005988	r.308
1.811377245508982	34.01497005988024	r.309
1.907185628742515	33.91916167664671	r.310
1.872754491017964	33.953592814371255	r.311
2.0733532934131738	33.75299401197605	r.312
1.9940119760479043	33.83233532934132	r.313
2.0059880239520957	33.82035928143713	r.314
1.8712574850299402	33.955089820359284	r.315
1.872754491017964	33.953592814371255	r.316
1.9191616766467066	33.90718562874252	r.317
1.9251497005988023	33.90119760479042	r.318
1.9745508982035929	33.85179640718563	r.319
1.9131736526946108	33.91317365269461	r.320
1.9461077844311376	33.880239520958085	r.321
1.973053892215569	33.85329341317365	r.322
1.8862275449101797	33.94011976047904	r.323
1.8547904191616766	33.971556886227546	r.324
1.848802395209581	33.97754491017964	r.325
1.970059880239521	33.8562874251497	r.326
1.9311377245508983	33.895209580838326	r.327
1.844311377245509	33.98203592814371	r.328
1.6751497005988023	34.15119760479042	r.329
1.967065868263473	33.85928143712575	r.330
1.8622754491017963	33.964071856287426	r.331
1.9520958083832336	33.874251497005986	r.332
1.8562874251497006	33.97005988023952	r.333
1.998502994011976	33.82784431137725	r.334
1.8892215568862276	33.93712574850299	r.335
2.061377245508982	33.76497005988024	r.336
1.8952095808383234	33.9311377245509	r.337
1.9146706586826348	33.91167664670659	r.338
2.065868263473054	33.76047904191617	r.339
2.032934131736527	33.793413173652695	r.340
1.8353293413173652	33.99101796407186	r.341
1.970059880239521	33.8562874251497	r.342
1.9251497005988023	33.90119760479042	r.343
1.9550898203592815	33.87125748502994	r.344
1.8173652694610778	34.00898203592814	r.345
1.8682634730538923	33.958083832335326	r.346
2.0853293413173652	33.74101796407186	r.347
1.907185628742515	33.91916167664671	r.348
2.1077844311377247	33.718562874251496	r.349
1.9595808383233533	33.866766467065865	r.350
1.9610778443113772	33.865269461077844	r.351
1.9805389221556886	33.84580838323353	r.352
1.9550898203592815	33.87125748502994	r.353
1.971556886227545	33.854790419161674	r.354
1.8517964071856288	33.974550898203596	r.355
2.029940119760479	33.796407185628745	r.356
1.8383233532934131	33.98802395209581	r.357
1.9835329341317365	33.84281437125748	r.358
1.8667664670658684	33.959580838323355	r.359
1.9326347305389222	33.8937125748503	r.360
1.9116766467065869	33.91467065868263	r.361
1.81437125748503	34.01197604790419	r.362
1.9565868263473054	33.869760479041915	r.363
1.8832335329341316	33.94311377245509	r.364
2.032934131736527	33.793413173652695	r.365
1.9835329341317365	33.84281437125748	r.366
2	33.82634730538922	r.367
1.9401197604790419	33.88622754491018	r.368
1.905688622754491	33.92065868263473	r.369
1.8787425149700598	33.94760479041916	r.370
1.9790419161676647	33.84730538922156	r.371
1.9326347305389222	33.8937125748503	r.372
1.9236526946107784	33.90269461077844	r.373
1.9161676646706587	33.91017964071856	r.374
1.9565868263473054	33.869760479041915	r.375
1.9970059880239521	33.82934131736527	r.376
1.8952095808383234	33.9311377245509	r.377
1.8817365269461077	33.94461077844311	r.378
1.9161676646706587	33.91017964071856	r.379
1.812874251497006	34.01347305389221	r.380
1.907185628742515	33.91916167664671	r.381
1.8637724550898203	33.962574850299404	r.382
1.9251497005988023	33.90119760479042	r.383
2.0404191616766467	33.785928143712574	r.384
1.8517964071856288	33.974550898203596	r.385
1.8712574850299402	33.955089820359284	r.386
1.9401197604790419	33.88622754491018	r.387
1.9431137724550898	33.883233532934135	r.388
2.0059880239520957	33.82035928143713	r.389
2.0074850299401197	33.8188622754491	r.390
